geo_id,chain,address,city,state,zip,lat,lon,size_sqft,property_type
FRESH-US-OH-0020,Kroger Supermarket,1240 Commerce Way,Columbus,OH,43215,40.01357,-83.00038,52000,Commercial Logistics & Retail
FRESH-US-OH-0021,Target Logistics Hub,1252 Logistics Pkwy,Cincinnati,OH,45202,39.17722,-84.44833,52850,Commercial Logistics & Retail
FRESH-US-OH-0022,Amazon Fulfillment Center,1264 Industrial Blvd,Cleveland,OH,44113,41.43738,-81.66002,53700,Commercial Logistics & Retail
FRESH-US-NC-0023,Home Depot Supply Yard,1276 Tradeport Dr,Charlotte,NC,28202,35.20736,-80.8131,54550,Commercial Logistics & Retail
FRESH-US-NC-0024,Walmart Supercenter,1288 Enterprise Rd,Raleigh,NC,27601,35.72688,-78.67212,55400,Commercial Logistics & Retail
FRESH-US-IL-0025,Costco Wholesale Depot,1300 Technology Way,Chicago,IL,60604,41.8108,-87.5856,56250,Commercial Logistics & Retail
FRESH-US-IL-0026,Publix Distribution Center,1312 Freight Corridor Rd,Joliet,IL,60431,41.57256,-88.04476,57100,Commercial Logistics & Retail
FRESH-US-CO-0027,UPS Global Freight,1324 Corporate Pkwy,Denver,CO,80202,39.69185,-104.98256,57950,Commercial Logistics & Retail
FRESH-US-WA-0028,FedEx Express Terminal,1336 Gateway Blvd,Seattle,WA,98101,47.5748,-122.27018,58800,Commercial Logistics & Retail
FRESH-US-NV-0029,Sysco Cold Storage,1348 Distribution Center Dr,Las Vegas,NV,89101,36.12569,-115.16922,59650,Commercial Logistics & Retail
FRESH-US-TX-0030,Kroger Supermarket,1360 Commerce Way,Houston,TX,77002,29.80201,-95.3567,60500,Commercial Logistics & Retail
FRESH-US-TX-0031,Target Logistics Hub,1372 Logistics Pkwy,Dallas,TX,75201,32.78274,-96.76826,61350,Commercial Logistics & Retail
FRESH-US-TX-0032,Amazon Fulfillment Center,1384 Industrial Blvd,Austin,TX,78701,30.22732,-97.80635,62200,Commercial Logistics & Retail
FRESH-US-TX-0033,Home Depot Supply Yard,1396 Tradeport Dr,San Antonio,TX,78205,29.42675,-98.42385,63050,Commercial Logistics & Retail
FRESH-US-TX-0034,Walmart Supercenter,1408 Enterprise Rd,Fort Worth,TX,76102,32.7111,-97.38374,63900,Commercial Logistics & Retail
FRESH-US-CA-0035,Costco Wholesale Depot,1420 Technology Way,Los Angeles,CA,90012,33.97828,-118.20729,64750,Commercial Logistics & Retail
FRESH-US-CA-0036,Publix Distribution Center,1432 Freight Corridor Rd,Ontario,CA,91761,34.10544,-117.61285,65600,Commercial Logistics & Retail
FRESH-US-CA-0037,UPS Global Freight,1444 Corporate Pkwy,Fremont,CA,94538,37.516,-121.98244,66450,Commercial Logistics & Retail
FRESH-US-CA-0038,FedEx Express Terminal,1456 Gateway Blvd,Stockton,CA,95202,37.9819,-121.32723,67300,Commercial Logistics & Retail
FRESH-US-CA-0039,Sysco Cold Storage,1468 Distribution Center Dr,San Diego,CA,92101,32.73484,-117.13557,68150,Commercial Logistics & Retail
FRESH-US-FL-0040,Kroger Supermarket,1480 Commerce Way,Miami,FL,33130,25.7099,-80.13294,69000,Commercial Logistics & Retail
FRESH-US-FL-0041,Target Logistics Hub,1492 Logistics Pkwy,Orlando,FL,32801,28.52454,-81.44085,69850,Commercial Logistics & Retail
FRESH-US-FL-0042,Amazon Fulfillment Center,1504 Industrial Blvd,Jacksonville,FL,32202,30.32369,-81.65081,70700,Commercial Logistics & Retail
FRESH-US-FL-0043,Home Depot Supply Yard,1516 Tradeport Dr,Tampa,FL,33602,27.91482,-82.42788,71550,Commercial Logistics & Retail
FRESH-US-FL-0044,Walmart Supercenter,1528 Enterprise Rd,Lakeland,FL,33801,28.0631,-82.02101,72400,Commercial Logistics & Retail
FRESH-US-GA-0045,Costco Wholesale Depot,1540 Technology Way,Atlanta,GA,30303,33.79298,-84.35198,73250,Commercial Logistics & Retail
FRESH-US-GA-0046,Publix Distribution Center,1552 Freight Corridor Rd,Savannah,GA,31401,32.12074,-81.11849,74100,Commercial Logistics & Retail
FRESH-US-AZ-0047,UPS Global Freight,1564 Corporate Pkwy,Phoenix,AZ,85003,33.3759,-112.06766,74950,Commercial Logistics & Retail
FRESH-US-AZ-0048,FedEx Express Terminal,1576 Gateway Blvd,Tucson,AZ,85701,32.15283,-111.01493,75800,Commercial Logistics & Retail
FRESH-US-AZ-0049,Sysco Cold Storage,1588 Distribution Center Dr,Goodyear,AZ,85338,33.49463,-112.39401,76650,Commercial Logistics & Retail
FRESH-US-OH-0050,Kroger Supermarket,1600 Commerce Way,Columbus,OH,43215,40.01318,-83.00369,77500,Commercial Logistics & Retail
